name,cases,date,day,diff
Japan,350,2020-03-05,21,1.09717868338558
Japan,461,2020-03-07,22,1.3171428571428572
Japan,497,2020-03-09,23,1.0780911062906724
Japan,581,2020-03-10,24,1.1690140845070423
Japan,691,2020-03-12,25,1.189328743545611
Japan,690,2020-03-13,26,0.9985528219971056
Japan,786,2020-03-14,27,1.1391304347826088
Japan,805,2020-03-15,28,1.0241730279898218
Japan,818,2020-03-16,29,1.0161490683229815
Japan,835,2020-03-17,30,1.0207823960880196
Japan,956,2020-03-19,31,1.1449101796407186
Japan,967,2020-03-20,32,1.0115062761506277
Japan,1015,2020-03-21,33,1.049638055842813
Jordan,48,2020-03-17,-5,NA
Jordan,56,2020-03-19,-4,1.1666666666666667
Jordan,69,2020-03-20,-3,1.2321428571428572
Jordan,84,2020-03-21,-2,1.2173913043478262
Kuwait,43,2020-02-27,-9,NA
Kuwait,45,2020-02-28,-8,1.0465116279069768
Kuwait,46,2020-03-01,-7,1.0222222222222221
Kuwait,56,2020-03-02,-6,1.2173913043478262
Kuwait,58,2020-03-05,-5,1.0357142857142858
Kuwait,61,2020-03-07,-4,1.0517241379310345
Kuwait,64,2020-03-08,-3,1.0491803278688525
Kuwait,72,2020-03-11,-2,1.125
Kuwait,80,2020-03-12,-1,1.1111111111111112
Kuwait,100,2020-03-13,0,1.25
Kuwait,112,2020-03-15,1,1.12
Kuwait,123,2020-03-17,2,1.0982142857142858
Kuwait,130,2020-03-18,3,1.056910569105691
Kuwait,148,2020-03-19,4,1.1384615384615384
Kuwait,159,2020-03-20,5,1.0743243243243243
Kuwait,176,2020-03-21,6,1.1069182389937107
Latvia,16,2020-03-12,-7,NA
Latvia,17,2020-03-13,-6,1.0625
Latvia,26,2020-03-15,-5,1.5294117647058822
Latvia,30,2020-03-16,-4,1.1538461538461537
Latvia,49,2020-03-17,-3,1.6333333333333333
Latvia,71,2020-03-18,-2,1.4489795918367347
Latvia,86,2020-03-19,-1,1.2112676056338028
Latvia,111,2020-03-20,0,1.2906976744186047
Lebanon,4,2020-02-28,-8,NA
Lebanon,10,2020-03-01,-7,2.5
Lebanon,13,2020-03-02,-6,1.3
Lebanon,16,2020-03-05,-5,1.2307692307692308
Lebanon,32,2020-03-08,-4,2
Lebanon,61,2020-03-11,-3,1.90625
Lebanon,68,2020-03-13,-2,1.1147540983606556
Lebanon,93,2020-03-15,-1,1.3676470588235294
Lebanon,109,2020-03-16,0,1.1720430107526882
Lebanon,133,2020-03-18,1,1.2201834862385321
Lebanon,149,2020-03-19,2,1.1203007518796992
Lebanon,163,2020-03-20,3,1.0939597315436242
Luxembourg,5,2020-03-08,-6,NA
Luxembourg,7,2020-03-11,-5,1.4
Luxembourg,19,2020-03-12,-4,2.7142857142857144
Luxembourg,26,2020-03-13,-3,1.368421052631579
Luxembourg,51,2020-03-15,-2,1.9615384615384615
Luxembourg,77,2020-03-16,-1,1.5098039215686274
